building_id,site_id,primaryspaceusage,sqft,yearbuilt,eui,total_kwh_2yr,annual_kwh,calculated_eui
Panther_lodging_Anastasia,Panther,Lodging/residential,24456.0,1968.0,247,730342.611,365171.3055,14.931767480372915
Panther_education_Enriqueta,Panther,Education,76257.0,2007.0,90,1371570.4545,685785.22725,8.993079025532083
Panther_office_Lauretta,Panther,Office,36240.0,2010.0,178,2447773.1254,1223886.5627,33.77170426876379
Panther_office_Patti,Panther,Office,156111.0,2001.0,124,6702043.4541,3351021.72705,21.465634881910947
Panther_other_Bethel,Panther,Other,3025.0,1979.0,"1,284",58877.54,29438.77,9.73182479338843
Panther_office_Brent,Panther,Office,10743.0,1974.0,100,189455.9593,94727.97965,8.817646807223309
Panther_other_Lula,Panther,Other,2070.0,1996.0,21,18355.2892,9177.6446,4.433644734299516
Panther_office_Hannah,Panther,Office,4038.0,1986.0,64,94604.4537,47302.22685,11.714271136701337
Panther_lodging_Else,Panther,Lodging/residential,37241.0,1981.0,77,624770.5825,312385.29125,8.388208996804597
Panther_education_Janis,Panther,Education,10932.0,1986.0,67,376610.641,188305.3205,17.225148234540796
Panther_assembly_Carrol,Panther,Entertainment/public assembly,6412.0,2006.0,140,385328.2412,192664.1206,30.047429912663755
Panther_assembly_Gwyneth,Panther,Entertainment/public assembly,76527.0,2007.0,184,3428381.8575,1714190.92875,22.399818740444548
Panther_retail_Romeo,Panther,Retail,161755.0,1996.0,258,6138789.1194,3069394.5597,18.975577630985132
Panther_lodging_Gale,Panther,Lodging/residential,59200.0,1999.0,147,1472618.3493000001,736309.1746500001,12.437654977195947
Panther_education_Emily,Panther,Education,68094.0,2003.0,164,1858562.5423,929281.27115,13.647036025934739
Panther_office_Lavinia,Panther,Office,10779.0,1970.0,101,325087.7277,162543.86385,15.079679362649596
Panther_office_Clementine,Panther,Office,33370.0,1982.0,119,679600.8484,339800.4242,10.182811633203476
Panther_education_Scarlett,Panther,Education,29469.0,1968.0,84,315071.5035,157535.75175,5.345812608164512
Panther_lodging_Kara,Panther,Lodging/residential,200933.0,2006.0,91,2493786.4404,1246893.2202,6.20551736250392
Panther_lodging_Kirk,Panther,Lodging/residential,200933.0,2006.0,70,2177319.614,1088659.807,5.418023953258051
Panther_lodging_Cora,Panther,Lodging/residential,187647.0,2007.0,151,1916829.4453,958414.72265,5.107540875420337
Panther_lodging_Marisol,Panther,Lodging/residential,200933.0,2007.0,78,2317552.6036,1158776.3018,5.766978554045378
Panther_office_Danica,Panther,Office,2260.0,2016.0,79,72172.8983,36086.44915,15.967455376106194
Panther_lodging_Dianna,Panther,Lodging/residential,24456.0,1968.0,298,733096.1922,366548.0961,14.988064119234545
Panther_office_Antonette,Panther,Office,18860.0,1986.0,208,445405.2086,222702.6043,11.808197470837753
Panther_office_Christin,Panther,Office,15876.0,1983.0,64,247239.6838,123619.8419,7.786586161501638
Panther_education_Cleopatra,Panther,Education,21657.0,2016.0,100,378335.1103,189167.55515,8.7347072609318
Panther_office_Ruthie,Panther,Office,45330.0,2003.0,211,1657903.6619,828951.83095,18.28704678910214
Robin_education_Kiera,Robin,Education,50623.0,,,1367790.1833,683895.09165,13.509572558915908
Robin_education_Della,Robin,Education,5374.0,,,55936.6463,27968.32315,5.204377214365463
Robin_education_Lashandra,Robin,Education,97532.0,2005.0,,2931805.4517,1465902.72585,15.029966840114014
Robin_education_Megan,Robin,Education,81580.0,1913.0,,4396266.2131,2198133.10655,26.944509764035306
Robin_education_Mercedes,Robin,Education,56995.0,1953.0,,4475651.963,2237825.9815,39.26354910957102
Robin_education_Derrick,Robin,Education,118338.0,1909.0,,7072368.8566000005,3536184.4283000003,29.882070242018628
Robin_education_Karyl,Robin,Education,32206.0,,,1089992.0198,544996.0099,16.92218871949326
Robin_education_Madeline,Robin,Education,100481.0,1958.0,,6344115.7397,3172057.86985,31.56873309232591
Robin_education_Leslie,Robin,Education,139683.0,1958.0,,15546674.6648,7773337.3324,55.64984523814637
Robin_education_So,Robin,Education,129716.0,1968.0,,8618845.688,4309422.844,33.22198374911344
Robin_education_Jasper,Robin,Education,37265.0,,,2899187.6989,1449593.84945,38.89960685495774
Robin_education_Cecilia,Robin,Education,15489.0,2004.0,,917584.9817,458792.49085,29.62053656465879
Robin_education_Julius,Robin,Education,138316.0,1960.0,,6065762.6021,3032881.30105,21.927190643526416
Robin_education_Margarito,Robin,Education,91149.0,2007.0,,9272596.6002,4636298.3001,50.8650484382714
Robin_education_Zenia,Robin,Education,68211.0,1976.0,,3525793.1099,1762896.55495,25.844754584304585
Robin_education_Derick,Robin,Education,150318.0,1906.0,,9274904.4982,4637452.2491,30.85094432536356
Robin_education_Terrance,Robin,Education,83043.0,1991.0,,4629599.6008,2314799.8004,27.87471310525872
Robin_education_Kristopher,Robin,Education,61204.0,1989.0,,2183783.9029,1091891.95145,17.840205729200708
Robin_education_Billi,Robin,Education,38319.0,1900.0,,665264.0994,332632.0497,8.680603609175604
Robin_education_Takako,Robin,Education,16802.0,1995.0,,2801227.6021,1400613.80105,83.35994530710629
Robin_education_Lizbeth,Robin,Education,21539.0,2004.0,,2133208.2015,1066604.10075,49.51966668601142
Robin_lodging_Donna,Robin,Lodging/residential,27071.0,,,372845.8199,186422.90995,6.886443424698016
Robin_lodging_Renea,Robin,Lodging/residential,102774.0,1956.0,,1576774.2003,788387.10015,7.671075370716329
Robin_lodging_Elmer,Robin,Lodging/residential,102957.0,1968.0,,1643579.7991,821789.89955,7.981874953135775
Robin_lodging_Dorthy,Robin,Lodging/residential,62893.0,1960.0,,544867.9992,272433.9996,4.331706224858092
Robin_lodging_Janie,Robin,Lodging/residential,66661.0,1930.0,,2083935.1663,1041967.58315,15.630842368851352
Robin_lodging_Celia,Robin,Lodging/residential,83108.0,1995.0,,899074.7019,449537.35095,5.4090743484381765
Robin_lodging_Oliva,Robin,Lodging/residential,64723.0,1960.0,,961585.8023,480792.90115,7.428470576920105
Robin_lodging_Pricilla,Robin,Lodging/residential,49589.0,1998.0,,1100058.5981,550029.29905,11.091760250257114
Robin_lodging_Phillip,Robin,Lodging/residential,66532.0,1967.0,,677361.6651,338680.83255,5.090495288733241
Robin_lodging_Armand,Robin,Lodging/residential,56467.0,1960.0,,671191.3559,335595.67795,5.943217772327199
Robin_assembly_Colleen,Robin,Entertainment/public assembly,64024.0,1967.0,,830725.3116,415362.6558,6.487608643633638
Robin_public_Carolina,Robin,Public services,118231.0,,,2462111.7533,1231055.87665,10.412293532576058
Robin_public_Cami,Robin,Public services,56629.0,1900.0,,1235734.7357,617867.36785,10.910794254710485
Robin_office_Shirlene,Robin,Office,50020.0,,,551581.9892,275790.9946,5.513614446221511
Robin_office_Gayle,Robin,Office,44789.0,1919.0,,1037056.5798,518528.2899,11.577134785326754
Robin_office_Dina,Robin,Office,45348.0,,,624981.9862,312490.9931,6.890954244950164
Robin_office_Victor,Robin,Office,40085.0,,,936887.3241,468443.66205,11.686258252463515
Robin_office_Lindsay,Robin,Office,57673.0,,,800721.5012,400360.7506,6.941909569469249
Robin_office_Adolph,Robin,Office,14219.0,,,475108.3479,237554.17395,16.70681299317814
Robin_office_Saul,Robin,Office,31614.0,1956.0,,308459.3073,154229.65365,4.8785238707534635
Robin_office_Donald,Robin,Office,82548.0,1977.0,,2646291.7534,1323145.8767,16.028805988031205
Robin_office_Wai,Robin,Office,174601.0,1960.0,,2917129.3928,1458564.6964,8.353701848213928
Robin_office_Zelma,Robin,Office,81881.0,1960.0,,1929102.0785,964551.03925,11.779912791123705
Robin_office_Antonina,Robin,Office,65657.0,1955.0,,7301443.6013,3650721.80065,55.60293343664804
Robin_office_Serena,Robin,Office,30495.0,1997.0,,905687.5058,452843.7529,14.849770549270373
Robin_office_Soledad,Robin,Office,10301.0,1970.0,,232121.0129,116060.50645,11.266916459567032
Robin_office_Addie,Robin,Office,16092.0,1965.0,,360326.5007,180163.25035,11.195827140815311
Robin_office_Maryann,Robin,Office,34455.0,1907.0,,4056345.7016,2028172.8508,58.86439851400377
Robin_office_Sammie,Robin,Office,51688.0,1930.0,,1444760.957,722380.4785,13.97578700085126
Fox_public_Denny,Fox,Public services,43681.0,2007.0,,2502088.79,1251044.395,28.64047057072869
Fox_office_Susanne,Fox,Office,10135.0,,,309975.39,154987.695,15.292323137641835
Fox_education_Charles,Fox,Education,9788.0,,,277170.74,138585.37,14.158701471189211
Fox_assembly_Kathie,Fox,Entertainment/public assembly,15786.0,,,208234.13,104117.065,6.595531800329406
Fox_education_Kendrick,Fox,Education,11329.0,,,218401.96,109200.98,9.63906611351399
Fox_education_Delma,Fox,Education,98829.0,1968.0,,1618537.49,809268.745,8.188575671108683
Fox_education_Ollie,Fox,Education,72102.0,1970.0,,1893356.28,946678.14,13.129707081634352
Fox_warehouse_Pearl,Fox,Warehouse/storage,12908.0,1979.0,,574308.91,287154.455,22.246239154013015
Fox_warehouse_Lorretta,Fox,Warehouse/storage,3877.0,1975.0,,300153.95,150076.975,38.709562806293526
Fox_lodging_Helen,Fox,Lodging/residential,553210.0,2009.0,,6210345.73,3105172.865,5.613009282189404
Fox_lodging_Stephen,Fox,Lodging/residential,86323.0,1956.0,,1442127.11,721063.555,8.353087300024328
Fox_education_Andre,Fox,Education,183460.0,2005.0,,7974747.1,3987373.55,21.734293851520768
Fox_education_Yolande,Fox,Education,179559.0,2006.0,,9165704.46,4582852.23,25.522821078308525
Fox_retail_Manie,Fox,Retail,45224.0,1982.0,,1133232.23,566616.115,12.529102136033964
Fox_office_Essie,Fox,Office,131797.0,1968.0,,607513.56,303756.78,2.304732125920924
Fox_office_Israel,Fox,Office,121440.0,1983.0,,2127827.91,1063913.955,8.760819787549408
Fox_education_Rosie,Fox,Education,90903.0,,,2261417.86,1130708.93,12.438631618318427
Fox_education_Tonya,Fox,Education,90900.0,,,2980877.85,1490438.925,16.396467821782178
Fox_education_Nilda,Fox,Education,111635.0,1989.0,,2383755.29,1191877.645,10.676558830116003
Fox_education_Kim,Fox,Education,62238.0,1970.0,,1008663.58,504331.79,8.10327757961374
Fox_assembly_Boyce,Fox,Entertainment/public assembly,167066.0,1989.0,,5906785.07,2953392.535,17.67799872505477
Fox_office_Berniece,Fox,Office,23392.0,,,488577.78,244288.89,10.44326650136799
Fox_food_Francesco,Fox,Food sales and service,24867.0,2012.0,,1064972.31,532486.155,21.413365303414164
Fox_education_Maris,Fox,Education,24586.0,,,346537.16000000003,173268.58000000002,7.047448954689662
Fox_education_Elvira,Fox,Education,148829.0,2014.0,,3312681.17,1656340.585,11.1291521477669
Fox_assembly_Jerrod,Fox,Entertainment/public assembly,1022.0,,,30602.47,15301.235,14.9718542074364
Fox_education_Leota,Fox,Education,132518.0,1992.0,,3790000.36,1895000.18,14.299945516835448
Fox_education_Heriberto,Fox,Education,34171.0,,,651032.19,325516.095,9.526092154165813
Fox_education_Miguelina,Fox,Education,84300.0,,,1650593.19,825296.595,9.789995195729537
Fox_religion_Maurice,Fox,Religious worship,1629.0,1948.0,,30212.83,15106.415,9.273428483732351
Fox_education_Sterling,Fox,Education,44203.0,1950.0,,392055.42,196027.71,4.434715064588376
Fox_office_Margarita,Fox,Office,23549.0,1941.0,,332662.77,166331.385,7.06320374538197
Fox_education_Elois,Fox,Education,7481.0,1969.0,,196757.92,98378.96,13.150509290201846
Fox_education_Geoffrey,Fox,Education,137040.0,1957.0,,2106154.85,1053077.425,7.68445289696439
Fox_education_Gayla,Fox,Education,78268.0,1964.0,,1009204.0,504602.0,6.447104819338683
Fox_education_Gloria,Fox,Education,151637.0,1983.0,,11579661.61,5789830.805,38.18217720609086
Fox_office_Molly,Fox,Office,6203.0,1999.0,,126329.18,63164.59,10.182909882315009
Fox_office_Demetrius,Fox,Office,155682.0,,,2150807.27,1075403.635,6.907694113641911
Fox_office_Sheila,Fox,Office,9703.0,1940.0,,163434.57,81717.285,8.421857672884675
Fox_assembly_Cindy,Fox,Entertainment/public assembly,40531.0,,,868402.7,434201.35,10.712821050553897
Fox_public_Rhonda,Fox,Public services,102856.0,,,1891139.54,945569.77,9.193141576573073
Fox_office_Yong,Fox,Office,163959.0,2004.0,,2371114.78,1185557.39,7.230816179654669
Fox_parking_Tommie,Fox,Parking,405083.0,2004.0,,1531707.21,765853.605,1.8906090973948548
Fox_assembly_Emma,Fox,Entertainment/public assembly,143093.0,1964.0,,2994988.69,1497494.345,10.465182398859483
Fox_education_Wendell,Fox,Education,219608.0,1992.0,,9329251.11,4664625.555,21.24069048031037
Fox_lodging_Alana,Fox,Lodging/residential,74682.0,2006.0,,3539301.77,1769650.885,23.695815390589434
Fox_lodging_Wallace,Fox,Lodging/residential,63348.0,2007.0,,6151157.93,3075578.965,48.550529850981874
Fox_lodging_Isabell,Fox,Lodging/residential,30949.0,1951.0,,485773.58,242886.79,7.847968916604737
Fox_lodging_Winifred,Fox,Lodging/residential,60086.0,2001.0,,1474741.81,737370.905,12.271925323702693
Fox_public_Martin,Fox,Public services,345837.0,1966.0,,3223171.15,1611585.575,4.659957075153902
Fox_public_Lauren,Fox,Public services,99700.0,,,2140519.55,1070259.775,10.734802156469406
Fox_health_Lorena,Fox,Healthcare,36904.0,1934.0,,734703.75,367351.875,9.954256313678734
Fox_education_Claude,Fox,Education,193294.0,2006.0,,17011171.46,8505585.73,44.00336135627593
Fox_education_Jaclyn,Fox,Education,71248.0,2004.0,,3380043.64,1690021.82,23.7202703233775
Fox_education_Etta,Fox,Education,48411.0,,,3481669.54,1740834.77,35.95948792629774
Fox_education_Otilia,Fox,Education,327256.0,2012.0,,16323408.21,8161704.105,24.93981502249004
Fox_education_Eldon,Fox,Education,49662.0,1964.0,,3423443.31,1711721.655,34.467432946719825
Fox_education_Janina,Fox,Education,91273.0,1951.0,,2220573.48,1110286.74,12.164459807391014
Fox_lodging_Stephan,Fox,Lodging/residential,36406.0,1940.0,,533782.15,266891.075,7.330963989452289
Fox_education_Long,Fox,Education,137065.0,1964.0,,2580042.33,1290021.165,9.411747455586765
Fox_education_Leona,Fox,Education,282946.0,2003.0,,4756485.43,2378242.715,8.405288341238258
Fox_public_Belle,Fox,Public services,16411.0,,,2113455.9,1056727.95,64.39144171592224
Fox_education_Dominique,Fox,Education,96124.0,1959.0,,3230875.15,1615437.575,16.805767290166866
Fox_education_Theodore,Fox,Education,122592.0,1971.0,,4740957.87,2370478.935,19.336326473179327
Fox_education_Melinda,Fox,Education,204349.0,1993.0,,7149386.81,3574693.405,17.493080000391487
Fox_assembly_Audrey,Fox,Entertainment/public assembly,11935.0,1939.0,,229078.83,114539.415,9.596934645999161
Fox_education_Willis,Fox,Education,261188.0,,,42685650.6,21342825.3,81.7144175842688
Fox_education_Elizabeth,Fox,Education,272278.0,1955.0,,7210045.41,3605022.705,13.240227653354292
Fox_lodging_Angla,Fox,Lodging/residential,216526.0,1967.0,,2066892.51,1033446.255,4.772850627638252
Fox_office_Carson,Fox,Office,74180.0,1930.0,,906837.05,453418.525,6.112409342140739
Fox_assembly_Cecelia,Fox,Entertainment/public assembly,17132.0,1918.0,,293564.97,146782.485,8.56773785897735
Fox_lodging_Warren,Fox,Lodging/residential,49108.0,1951.0,,635474.43,317737.215,6.470172171540279
Fox_education_Eddy,Fox,Education,140092.0,,,5205945.76,2602972.88,18.580453416326414
Fox_education_Shawanda,Fox,Education,10334.0,,,200618.36,100309.18,9.706713760402554
Fox_education_Stacia,Fox,Education,33739.0,1939.0,,1334147.27,667073.635,19.771588814132013
Fox_assembly_Gary,Fox,Entertainment/public assembly,24345.0,1981.0,,1607569.04,803784.52,33.01641076196344
Fox_education_Rudolph,Fox,Education,25139.0,1970.0,,410675.16,205337.58,8.168088627232587
Fox_education_Louie,Fox,Education,179167.0,1971.0,,1361657.92,680828.96,3.799968520988798
Fox_education_Ashli,Fox,Education,9309.0,1970.0,,507704.09,253852.045,27.269528950478033
Fox_assembly_Cathy,Fox,Entertainment/public assembly,144086.0,1989.0,,1004077.14,502038.57,3.484298058104188
Fox_public_Bart,Fox,Public services,101262.0,1982.0,,2316351.11,1158175.555,11.437415368055143
Fox_office_Bernard,Fox,Office,45017.0,,,2324838.0,1162419.0,25.82177843925628
Fox_lodging_Jina,Fox,Lodging/residential,106440.0,1963.0,,2488750.94,1244375.47,11.690863115370162
Fox_lodging_Frances,Fox,Lodging/residential,111304.0,1964.0,,1737247.0,868623.5,7.804063645511392
Fox_assembly_Terrell,Fox,Entertainment/public assembly,51999.0,1974.0,,859984.08,429992.04,8.269236716090694
Fox_parking_Lynelle,Fox,Parking,157113.0,1987.0,,228757.93,114378.965,0.7280044617568247
Fox_parking_Felipa,Fox,Parking,557217.0,2004.0,,1079479.6,539739.8,0.9686348406455655
Fox_education_Dewayne,Fox,Education,95717.0,,,1358937.83,679468.915,7.098727655484397
Fox_education_Shirley,Fox,Education,88486.0,,,1719834.23,859917.115,9.718114899532129
Fox_office_Alice,Fox,Office,202435.0,1967.0,,6327358.2,3163679.1,15.628123101242375
Fox_education_Marlana,Fox,Education,64560.0,1965.0,,3104774.03,1552387.015,24.04564769206939
Fox_education_Melvin,Fox,Education,24643.0,1982.0,,1063010.59,531505.295,21.56820577851723
Fox_assembly_Renna,Fox,Entertainment/public assembly,179449.0,1976.0,,6594944.36,3297472.18,18.375539456893044
Fox_education_Lilly,Fox,Education,131710.0,1991.0,,3260866.37,1630433.185,12.378962759091944
Fox_education_Virginia,Fox,Education,12773.0,,,177411.76,88705.88,6.94479605417678
Fox_education_Marcelina,Fox,Education,4314.0,1907.0,,71991.32,35995.66,8.343917477978675
Fox_education_Virgil,Fox,Education,65907.0,1964.0,,1571411.83,785705.915,11.921433459268364
Fox_assembly_Johnnie,Fox,Entertainment/public assembly,254766.0,1989.0,,5881449.36,2940724.68,11.542845905654602
Fox_education_Suzan,Fox,Education,49078.0,1914.0,,711769.05,355884.525,7.251406434655039
Fox_education_Lesley,Fox,Education,16744.0,,,233242.03,116621.015,6.96494356187291
Fox_education_Burton,Fox,Education,75650.0,,,837795.33,418897.665,5.537312161269002
Fox_education_Shaun,Fox,Education,71224.0,,,1306147.09,653073.545,9.169290477928788
Fox_education_Cynthia,Fox,Education,77469.0,,,3634613.36,1817306.68,23.458501852353844
Fox_education_Tamika,Fox,Education,89770.0,,,2644260.57,1322130.285,14.727974657457947
Fox_assembly_Leeanne,Fox,Entertainment/public assembly,20804.0,1999.0,,319766.68,159883.34,7.685221111324745
Fox_education_Claire,Fox,Education,87673.0,1960.0,,1068936.49,534468.245,6.096155543896068
Fox_office_Edythe,Fox,Office,83660.0,1973.0,,1988036.09,994018.045,11.88164050920392
Fox_office_Thelma,Fox,Office,118966.0,1988.0,,2182000.43,1091000.215,9.170689230536457
Fox_education_Kris,Fox,Education,30543.0,,,1873366.06,936683.03,30.667682611400323
Fox_assembly_Carlos,Fox,Entertainment/public assembly,72193.0,2013.0,,1961416.82,980708.41,13.584536035349688
Fox_assembly_Tony,Fox,Entertainment/public assembly,77844.0,,,1437223.46,718611.73,9.231433764965828
Fox_assembly_Bradley,Fox,Entertainment/public assembly,809530.0,1958.0,,2660117.34,1330058.67,1.6430010870505107
Fox_office_Easter,Fox,Office,29778.0,,,397598.58,198799.29,6.676045738464639
Fox_education_Carleen,Fox,Education,71421.0,,,1852625.97,926312.985,12.969756584197924
Fox_education_Henrietta,Fox,Education,4583.0,,,516722.17,258361.085,56.37379118481344
Fox_office_Zachary,Fox,Office,140345.0,,,2946637.91,1473318.955,10.497837151305712
Fox_office_Brandy,Fox,Office,42214.0,1985.0,,564152.47,282076.235,6.682054176339602
Fox_office_Vicki,Fox,Office,70832.0,2014.0,,2574075.18,1287037.59,18.170284475943077
Fox_office_Joy,Fox,Office,70837.0,2014.0,,3191454.91,1595727.455,22.52675092112879
Fox_education_Ray,Fox,Education,12761.0,1909.0,,834956.22,417478.11,32.71515633571037
Fox_office_Gaylord,Fox,Office,148101.0,,,2815356.24,1407678.12,9.504852229221951
Fox_education_John,Fox,Education,49384.0,1967.0,,981370.41,490685.205,9.936117062206383
Fox_assembly_Dixie,Fox,Entertainment/public assembly,105505.0,2008.0,,1280068.54,640034.27,6.0663880384815885
Fox_food_Scott,Fox,Food sales and service,28862.0,,,1293837.69,646918.845,22.414207088905826
